image_id,width,height,bbox,source
000000006725,640,480,"[607.14976, 344.78976, 32.41024, 52.44]",4
000000006725,640,480,"[621.05984, 349.03992, 18.94016, 51.99024]",4
000000006842,640,480,"[507.20032, 194.50008, 34.03968, 19.54992]",4
000000006842,640,480,"[88.46016, 189.87024000000002, 23.08992, 20.08992]",4
000000006945,500,346,"[0.0, 256.4898, 24.95, 36.350068]",4
000000007090,640,480,"[482.47007999999994, 83.83992000000002, 155.50016, 178.18992]",4
000000007145,500,375,"[458.6, 0.0001874999999955662, 41.4, 66.919875]",4
000000007220,640,480,"[190.26976, 278.47992, 81.40992, 106.33008]",4
000000007220,640,480,"[398.01024, 77.79024, 60.22016, 84.47999999999999]",4
000000007241,480,640,"[233.30016, 1.759999999999991, 246.69984000000002, 632.12032]",4
000000007274,640,480,"[433.76991999999996, 322.74984, 32.75968, 54.08016]",4
000000007274,640,480,"[399.95008, 327.01991999999996, 20.629759999999997, 56.43024]",4
000000007274,640,480,"[339.71968000000004, 296.65008, 25.340159999999997, 45.450239999999994]",4
000000007274,640,480,"[355.2803200000001, 327.03000000000003, 25.34976, 52.59984]",4
000000007517,480,640,"[359.78015999999997, 234.33984, 48.26976, 66.89024]",4
000000007539,640,480,"[431.46016000000003, 104.62992, 203.87008000000003, 267.50016]",4
000000007539,640,480,"[1.0800000000000054, 90.42984000000003, 69.02976, 194.14991999999998]",4
000000007539,640,480,"[194.59999999999997, 40.54008, 116.44992, 101.96016]",4
000000007539,640,480,"[548.72992, 32.17992, 52.830079999999995, 25.90992]",4
000000007559,480,640,"[121.07999999999996, 481.35040000000004, 335.85984, 151.34976]",4
000000007746,500,375,"[431.65, 66.36993749999999, 23.66, 39.160125]",4
000000007787,640,334,"[57.03968, 64.42008299999998, 120.84032, 96.08011]",4
000000007890,640,480,"[92.27008, 261.55992000000003, 71.82976, 71.36016]",4
000000007944,640,411,"[489.45023999999995, 10.290001500000002, 133.26976, 129.670089]",4
000000007946,640,480,"[0.0, 184.68023999999997, 125.92, 154.98000000000002]",4
000000008223,375,500,"[189.45993749999997, 0.0, 168.160125, 230.49]",4
000000008383,479,640,"[116.2401275, 156.36, 35.320023, 56.65984]",4
000000008429,500,375,"[73.5, 96.829875, 15.049999999999999, 23.34]",4
000000008429,500,375,"[439.3, 319.2699375, 18.14, 27.199875]",4
000000008429,500,375,"[71.78999999999999, 133.0198125, 19.43, 33.790125]",4
000000008429,500,375,"[88.47, 149.16, 20.91, 37.05]",4
000000008429,500,375,"[444.39, 340.210125, 23.810000000000002, 29.37]",4
000000008429,500,375,"[157.56, 85.249875, 13.4, 22.23]",4
000000008429,500,375,"[458.20000000000005, 63.04987500000001, 16.650000000000002, 24.27]",4
000000008429,500,375,"[469.46000000000004, 316.47018749999995, 20.060000000000002, 24.919874999999998]",4
000000008429,500,375,"[86.64999999999999, 61.05018750000001, 19.91, 22.009875]",4
000000008429,500,375,"[385.03000000000003, 348.9699375, 26.509999999999998, 25.489875]",4
000000008429,500,375,"[390.85, 361.2601875, 27.779999999999998, 12.919875]",4
000000008429,500,375,"[166.0, 44.980125, 9.19, 13.11]",4
000000008429,500,375,"[414.16, 356.2299375, 29.01, 18.229875]",4
000000008429,500,375,"[454.0, 57.9999375, 25.0, 10.999875000000001]",4
000000008583,640,480,"[24.390080000000005, 256.68, 51.32992, 51.339839999999995]",4
000000008711,640,480,"[307.41984, 55.009919999999994, 153.16032, 195.24]",4
000000008711,640,480,"[162.63968, 0.000240000000005125, 106.91008, 153.70991999999998]",4
000000008718,640,425,"[508.2799999999999, 1.4401124999999837, 131.72000000000008, 207.70982500000002]",4
000000008747,640,426,"[271.4, 308.829765, 39.16992, 66.36015]",4
000000008749,640,427,"[402.11008000000004, 0.9099369999999993, 77.55008000000001, 73.719842]",4
000000008749,640,427,"[166.94975999999997, 0.31000200000000433, 101.87008, 94.799978]",4
000000008786,640,481,"[598.15968, 0.7101965000000092, 41.84, 132.16004099999998]",4
000000008813,640,427,"[145.78016, 212.400048, 95.44, 57.990016000000004]",4
000000008848,640,480,"[580.4099199999999, 120.73007999999999, 24.88, 36.36]",4
000000009012,640,480,"[554.43968, 161.71008, 85.56032, 105.24]",4
000000009012,640,480,"[0.0, 0.0, 80.96000000000001, 78.36]",4
000000009012,640,480,"[320.61024, 328.18008, 99.85984, 100.81008]",4
000000009012,640,480,"[432.69984, 122.31983999999999, 52.929919999999996, 44.56992]",4
000000009012,640,480,"[418.28000000000003, 53.06016000000001, 44.400000000000006, 37.229760000000006]",4
000000009012,640,480,"[109.43008, 101.70984, 44.300160000000005, 44.96016]",4
000000009012,640,480,"[93.53984, 401.24976, 62.65984, 61.58015999999999]",4
000000009095,640,356,"[188.0, 276.00003599999997, 47.199999999999996, 61.600103999999995]",4
000000009095,640,356,"[543.98016, 231.240156, 80.32, 76.369832]",4
000000009095,640,356,"[105.22015999999999, 246.640182, 40.11968, 43.739940000000004]",4
000000009095,640,356,"[357.75007999999997, 312.739948, 31.6, 27.350056000000002]",4
000000009095,640,356,"[252.70015999999998, 168.760198, 25.660159999999998, 39.319844]",4
000000009095,640,356,"[414.70975999999996, 118.66014000000001, 40.20992, 57.009840000000004]",4
000000009156,640,480,"[430.2697599999999, 3.1699199999999905, 165.40992, 184.87008]",4
000000009236,640,480,"[62.61984, 331.23984, 18.14976, 8.20992]",4
000000009236,640,480,"[34.48960000000001, 322.79976, 23.48032, 25.35024]",4
000000009262,640,459,"[471.63008, 190.84003650000002, 38.17984, 32.809779]",4
000000009262,640,459,"[118.31008000000001, 183.2601105, 29.24992, 26.549937]",4
000000009262,640,459,"[208.49024000000003, 117.21001049999998, 58.389759999999995, 50.719959]",4
000000009262,640,459,"[347.90016, 113.15015550000001, 25.429759999999998, 20.470022999999998]",4
000000009262,640,459,"[465.13983999999994, 138.18011399999997, 25.74976, 20.890007999999998]",4
000000009270,424,640,"[0, 230.05984, 27.640136, 61.45984]",4
000000009270,424,640,"[373.249956, 249.44992000000002, 30.319816000000003, 37.58016]",4
000000009275,640,469,"[232.92, 288.779715, 55.85984, 81.150132]",4
000000009275,640,469,"[96.4, 279.76975600000003, 35.740159999999996, 82.210072]",4
000000009479,640,480,"[407.39968, 368.59008, 38.03008, 30.690239999999996]",4
000000009488,500,375,"[184.26000000000002, 112.53993750000001, 27.650000000000002, 61.390125]",3
000000009488,500,375,"[239.78000000000003, 189.2499375, 99.5, 62.149874999999994]",3
000000009488,500,375,"[334.96999999999997, 271.8699375, 13.459999999999999, 22.879875]",4
000000009488,500,375,"[166.60000000000002, 152.260125, 11.629999999999999, 17.16]",4
000000009527,640,480,"[86.62975999999999, 186.85008, 40.68992, 68.90975999999999]",4
000000009539,640,427,"[560.25024, 214.20988749999998, 10.4, 23.459806999999998]",4
000000009539,640,427,"[494.08000000000004, 245.51005500000002, 30.49984, 33.119828]",4
000000009760,640,480,"[506.85024, 362.59992, 61.2, 81.61008]",4
000000009760,640,480,"[207.10016, 288.46991999999995, 44.84992, 47.569919999999996]",4
000000009760,640,480,"[122.60991999999999, 226.87007999999997, 23.40992, 27.86016]",4
000000009760,640,480,"[316.81024, 236.21016, 22.17984, 25.42992]",4
000000009760,640,480,"[110.16991999999999, 236.61983999999998, 26.54016, 37.10016]",4
000000009789,640,480,"[358.63007999999996, 338.96976, 57.939840000000004, 112.10016]",4
000000009789,640,480,"[108.40992000000001, 351.30983999999995, 60.65984, 16.76016]",4
000000009789,640,480,"[210.69984, 435.11976, 77.29984, 37.40016]",4
000000009843,640,480,"[283.1296, 257.74008000000003, 13.770240000000001, 21.54]",4
000000009919,640,480,"[4.259840000000004, 1.3099200000000017, 78.14016, 46.05984]",4
000000009983,640,427,"[264.59968000000003, 220.21991250000002, 49.98016, 72.669849]",4
000000009983,640,427,"[163.44031999999999, 209.94010099999997, 48.56, 90.33014200000001]",4
000000010138,640,480,"[137.63008000000002, 274.71000000000004, 44.35968, 49.35024]",4
000000010138,640,480,"[185.41984, 89.70984000000001, 17.10016, 25.76016]",4
000000010138,640,480,"[524.21984, 297.70968, 64.72, 66.87024]",4
000000010149,640,484,"[529.24992, 321.539834, 47.72992000000001, 79.960188]",4
000000010149,640,484,"[467.17024000000004, 322.859944, 46.209920000000004, 76.890176]",4
000000010149,640,484,"[410.61024000000003, 317.469878, 44.75968, 80.57002800000001]",4
000000010161,640,427,"[75.79968, 54.690160000000006, 118.03008, 116.10983999999999]",4
000000010161,640,427,"[271.72992000000005, 1.109986500000005, 87.61984, 105.360115]",4
000000010176,640,480,"[297.36992000000004, 345.60983999999996, 25.889920000000004, 31.069919999999996]",4
000000010176,640,480,"[267.85983999999996, 359.76024, 36.14976, 46.04976]",4
000000010579,640,640,"[143.37024000000002, 441.26016000000004, 108.94976, 142.68032]",4
000000010579,640,640,"[23.619840000000003, 495.48992, 19.32032, 41.34016]",4
000000010579,640,640,"[60.109759999999994, 535.7699200000001, 33.839999999999996, 53.42016]",4
000000010579,640,640,"[25.350079999999995, 533.25984, 33.47008, 51.80992]",4
000000010579,640,640,"[53.33023999999999, 497.28, 35.05984, 37.56032]",4
